item, category, season, use, quality, state, setting, rating, removable, brand, year, metadata, sport
sherpa, sweatshirt, winter spring autumn, weekly, high, good, outdoors home, 9, f, blbg, 2023
navy pants, pants, winter spring autumn, daily, high, good, outdoors home, 9, f, adids, 2023
black jacket, jacket, spring autumn, rarely, medium, good, city, 9, f, blbg, 2022
red blue shirt, shirt, winter spring autumn summer, weekly, high, good, outdoors city, 9, f, zara, 2020
yellow blue shirt, shirt, winter spring autumn, monthly, high, good, outdoors city, 8, f, ripc, 2023
grey sweatshirt, sweatshirt, winter spring autumn, weekly, medium, medium, outdoors home, 7, f, pull, 2023
pink polo, polo, summer, monthly, high, good, city, 8, f, jack, 2022
soldier shirt, shirt, autumn spring, rarely, medium, bad, city, 6, t, zara, 2020
vans black pants, pants, winter, weekly, high, good, home, 9, f, vans, 2023
light blue jeans, jeans, winter spring autumn, weekly, high, good, city, 9, f, mango,  
black down jacket, jacket, spring autumn, weekly, medium, medium, city outdoors, 8, f, gosport, 2020
